applicant_id,monitoring_month,jurisdiction,protected_group,age,annual_income,employment_years,debt_to_income,credit_history_years,missed_payments_12m,prior_default,loan_amount,product_type,actual_repaid,true_repayment_probability,predicted_repayment_probability,approved
A00-00594,0,US,Majority,35,37967.79,2.81,0.133,7.51,1,0,23746.09,auto,0,0.4679,0.46883046846105547,0
A00-00595,0,US,Majority,42,66535.49,1.26,0.297,15.57,1,0,30729.41,personal,1,0.6906,0.739392679361432,1
A00-00596,0,US,Minority,27,39131.94,1.4,0.437,8.7,1,0,18046.54,personal,1,0.3095,0.2712125089737347,0
A00-00597,0,US,Majority,29,67799.59,1.48,0.421,9.38,2,0,32978.44,home_improvement,1,0.398,0.45907039933446026,0
A00-00598,0,US,Minority,46,18000.0,13.95,0.207,3.03,1,0,13730.99,home_improvement,0,0.2589,0.27218257479221436,0
A00-00599,0,US,Majority,49,39224.19,1.48,0.471,1.94,1,0,19653.61,personal,0,0.1676,0.13234972903378703,0
A00-00600,0,EU,Majority,28,91091.64,2.98,0.213,3.59,1,0,38332.94,auto,0,0.6233,0.5949801988280512,1
A00-00601,0,US,Minority,46,68512.01,5.47,0.36,0.5,1,0,16008.2,personal,0,0.3489,0.25962987312854685,0
A00-00602,0,EU,Minority,33,54777.5,8.3,0.307,7.4,1,0,35401.4,personal,0,0.4274,0.4542427711817467,0
A00-00603,0,EU,Minority,39,44233.88,8.78,0.425,8.64,1,0,13410.86,personal,1,0.389,0.34413418761095255,0
A00-00604,0,EU,Minority,55,40899.18,3.56,0.386,3.24,0,0,9695.7,auto,1,0.3726,0.27437635957079115,0
A00-00605,0,EU,Minority,48,65302.96,6.15,0.456,7.69,3,0,11640.74,home_improvement,0,0.313,0.3188677700825315,0
A00-00606,0,US,Minority,48,54970.99,5.37,0.596,12.98,0,0,27843.14,auto,1,0.5576,0.5467956486154842,0
A00-00607,0,EU,Majority,60,97886.3,5.95,0.378,16.33,0,0,33779.27,auto,1,0.8945,0.907212997148894,1
A00-00608,0,US,Minority,31,57989.49,6.42,0.306,10.18,2,0,36692.08,personal,0,0.4142,0.4779504761453123,0
A00-00609,0,EU,Majority,28,69615.69,7.43,0.385,7.8,0,0,33326.1,home_improvement,1,0.6045,0.6251526068799256,1
A00-00610,0,US,Majority,31,42118.43,4.09,0.563,11.45,1,0,31608.28,personal,0,0.3066,0.32231870534100315,0
A00-00611,0,US,Majority,36,61646.71,11.11,0.409,13.91,1,0,20056.88,home_improvement,1,0.6559,0.6973940115107359,1
A00-00612,0,EU,Minority,21,64862.84,15.03,0.488,0.5,1,0,21608.98,personal,0,0.2938,0.21141204551133386,0
A00-00613,0,EU,Minority,37,54417.07,4.71,0.184,13.03,1,0,32819.81,personal,0,0.6277,0.6913003800722537,1
A00-00614,0,US,Majority,33,59273.06,17.76,0.376,6.32,0,0,38285.69,auto,1,0.5676,0.5683250136582885,1
A00-00615,0,EU,Minority,48,67711.28,4.25,0.343,4.96,1,0,17419.86,personal,0,0.4559,0.3918859888684651,0
A00-00616,0,US,Minority,43,90281.64,6.22,0.293,5.68,1,0,40124.43,personal,1,0.5955,0.608200771038267,1
A00-00617,0,EU,Majority,32,71254.42,5.4,0.327,9.78,1,0,12364.17,auto,1,0.6715,0.5996310959762086,1
A00-00618,0,US,Majority,45,90239.54,6.07,0.343,4.05,2,0,28305.8,auto,0,0.5076,0.46728818740349737,0
A00-00619,0,US,Majority,47,80310.45,10.44,0.255,7.36,0,0,27851.61,personal,1,0.729,0.7113741253321042,1
A00-00620,0,US,Minority,31,82102.71,5.22,0.398,9.2,3,0,23266.5,auto,1,0.4737,0.4548862563054578,0
A00-00621,0,US,Majority,34,56915.32,2.73,0.309,9.37,3,0,23446.75,auto,0,0.3555,0.3692437998583373,0
A00-00622,0,US,Minority,21,57568.38,4.04,0.459,8.62,5,0,16173.21,personal,0,0.1384,0.13857672312540031,0
A00-00623,0,US,Majority,27,64647.3,5.22,0.357,7.2,0,0,27092.54,personal,0,0.5597,0.510620652101239,0
A00-00624,0,US,Minority,31,71879.27,6.54,0.42,9.87,2,0,25529.55,auto,1,0.5076,0.49141809677784665,0
A00-00625,0,US,Majority,40,83555.84,3.57,0.448,12.73,4,0,32012.75,home_improvement,0,0.3967,0.5123356178562419,0
A00-00626,0,US,Minority,29,63876.07,3.82,0.442,11.09,0,0,37062.57,personal,1,0.5744,0.5842638079232986,1
A00-00627,0,US,Majority,33,85157.42,6.68,0.329,10.21,1,0,25335.61,auto,1,0.7311,0.7045398860788202,1
A00-00628,0,EU,Majority,26,57796.7,6.81,0.08,12.26,1,1,16261.67,auto,0,0.5045,0.5254596766499832,0
A00-00629,0,EU,Minority,41,78322.17,9.63,0.437,10.58,0,0,16018.63,auto,1,0.7616,0.6976965171739326,1
A00-00630,0,US,Minority,44,80800.38,4.01,0.266,17.81,3,0,44083.53,auto,0,0.6917,0.8052432416136163,1
A00-00631,0,EU,Minority,43,74372.43,7.85,0.365,11.97,3,0,40466.76,auto,1,0.4806,0.5745050049944928,1
A00-00632,0,US,Majority,39,71049.23,5.41,0.375,8.15,0,0,31004.24,personal,1,0.6051,0.5838155826858806,1
A00-00633,0,US,Majority,22,82053.14,4.38,0.49,4.85,0,0,26585.12,home_improvement,0,0.5537,0.4964195365908762,0
A00-00634,0,EU,Majority,32,51513.92,5.51,0.551,7.46,1,0,32143.15,auto,0,0.3184,0.2992221640679201,0
A00-00635,0,EU,Majority,35,72268.88,5.98,0.219,7.17,1,0,35333.95,auto,0,0.6152,0.6242535701283984,1
A00-00636,0,EU,Majority,35,74209.7,2.53,0.172,10.55,1,0,20515.48,auto,1,0.7455,0.7255009176311238,1
A00-00637,0,US,Minority,40,36239.2,2.67,0.414,4.3,2,0,24473.63,personal,0,0.1527,0.14580380018490716,0
A00-00638,0,EU,Minority,55,70517.1,8.46,0.404,11.87,4,1,17079.19,personal,0,0.1521,0.1946828359589702,0
A00-00639,0,US,Minority,48,37772.44,4.64,0.231,1.54,3,0,24536.82,auto,0,0.1529,0.15507995335282257,0
A00-00640,0,US,Minority,28,53369.55,6.57,0.373,0.57,3,0,38681.86,personal,0,0.1165,0.12373959719032938,0
A00-00641,0,US,Minority,46,62255.46,8.32,0.447,6.56,0,0,32628.06,personal,0,0.4775,0.46049457497623036,0
A00-00642,0,EU,Majority,46,54616.01,5.53,0.182,5.13,2,0,24449.19,auto,0,0.4037,0.4042466427760327,0
A00-00643,0,US,Majority,30,70068.53,7.93,0.211,3.47,2,0,6329.32,personal,1,0.4603,0.3601734282967912,0
A00-00644,0,EU,Majority,48,69764.58,6.0,0.253,5.95,1,1,22272.76,auto,0,0.309,0.3028289274476932,0
A00-00645,0,EU,Minority,37,45916.55,6.16,0.35,4.05,1,0,26887.99,personal,0,0.2851,0.2643482581511626,0
A00-00646,0,EU,Majority,23,79291.51,10.92,0.413,8.54,1,0,28405.65,auto,0,0.6305,0.5903648371194528,1
A00-00647,0,EU,Majority,44,53981.03,5.18,0.291,6.02,2,0,26201.67,personal,0,0.3179,0.3267850221805588,0
A00-00648,0,EU,Majority,41,111971.51,8.51,0.337,6.34,2,0,25887.51,auto,1,0.7161,0.670845970377871,1
A00-00649,0,US,Majority,36,66419.9,2.22,0.6,8.48,4,0,23208.65,auto,0,0.1851,0.17821628813777352,0
A00-00650,0,US,Majority,39,46245.41,6.43,0.215,12.56,0,0,23686.42,personal,1,0.6692,0.6866009505454315,1
A00-00651,0,EU,Minority,31,42797.51,12.45,0.297,12.98,0,0,24580.88,home_improvement,1,0.6609,0.7157557472289977,1
A00-00652,0,US,Majority,46,90304.03,18.46,0.411,9.09,0,0,20641.33,personal,1,0.789,0.7492588209062606,1
A00-00653,0,US,Majority,39,60726.12,2.31,0.449,9.4,1,1,38865.27,personal,0,0.1744,0.21658881833651317,0
A00-00654,0,US,Minority,41,35588.49,4.63,0.425,6.37,1,0,19147.72,auto,0,0.2932,0.2559074128166395,0
A00-00655,0,US,Majority,43,84720.54,3.08,0.547,10.42,0,0,7165.64,auto,0,0.7368,0.6155901060966185,1
A00-00656,0,US,Minority,26,53604.1,5.31,0.413,8.66,1,0,41344.75,auto,0,0.4073,0.4359349300854288,0
A00-00657,0,US,Majority,29,80914.97,9.29,0.093,13.8,2,0,17189.47,home_improvement,1,0.8117,0.8470035801149162,1
A00-00658,0,EU,Majority,21,86275.75,11.13,0.342,0.95,2,0,31570.21,auto,0,0.418,0.35638483835026635,0
A00-00659,0,US,Majority,45,73714.81,11.33,0.261,7.56,1,0,19985.84,personal,0,0.6339,0.6069217618891725,1
A00-00660,0,EU,Majority,26,114022.24,2.16,0.496,9.86,1,0,37008.31,personal,1,0.719,0.6914872493180422,1
A00-00661,0,EU,Minority,40,28729.89,5.9,0.491,6.99,4,0,24843.19,home_improvement,0,0.0818,0.11415464298575,0
A00-00662,0,US,Majority,43,52958.95,3.96,0.139,4.74,0,0,35125.95,personal,0,0.5136,0.5271686941491537,0
A00-00663,0,EU,Majority,46,63636.95,5.12,0.492,3.3,0,0,23890.35,auto,1,0.429,0.3398528366918284,0
A00-00664,0,EU,Majority,26,111462.3,4.31,0.443,11.73,2,0,22355.72,home_improvement,1,0.749,0.7464853741783516,1
A00-00665,0,EU,Minority,38,95662.05,2.24,0.336,4.07,1,1,27346.09,auto,0,0.3436,0.3038522774232495,0
A00-00666,0,US,Minority,57,85985.13,11.19,0.366,0.5,1,0,20928.04,personal,0,0.4698,0.38647276744616615,0
A00-00667,0,US,Minority,58,46411.65,3.59,0.542,10.53,0,0,6675.55,auto,0,0.5177,0.42681465895389925,0
A00-00668,0,US,Majority,50,55627.22,4.01,0.093,10.34,0,1,22672.02,personal,0,0.4507,0.4970145377226849,0
A00-00669,0,EU,Majority,43,52757.36,12.49,0.383,8.04,0,0,50002.28,home_improvement,1,0.4832,0.6068666434199117,1
A00-00670,0,EU,Majority,28,53614.89,1.96,0.461,4.84,2,0,7534.65,auto,0,0.2771,0.19156848829604867,0
A00-00671,0,EU,Majority,47,96861.39,7.37,0.319,8.05,1,0,30174.57,auto,0,0.7427,0.7249893354784797,1
A00-00672,0,EU,Minority,37,56868.42,10.02,0.453,11.96,1,0,22404.43,personal,0,0.5224,0.5186867698232813,0
A00-00673,0,EU,Minority,45,59381.53,11.95,0.387,0.64,0,0,41147.31,personal,0,0.3376,0.3258548635229324,0
A00-00674,0,EU,Majority,32,83213.35,7.09,0.236,2.24,3,0,19151.53,personal,0,0.3681,0.31830728042390216,0
A00-00675,0,US,Majority,37,36892.97,8.6,0.233,5.99,0,0,26848.47,auto,1,0.4802,0.4618937338799402,0
A00-00676,0,EU,Minority,41,62500.27,10.01,0.46,6.99,0,0,33210.71,auto,1,0.5345,0.5081393775332302,0
A00-00677,0,US,Majority,42,47659.44,5.36,0.254,6.51,0,0,25747.7,home_improvement,1,0.5141,0.5409368729916261,0
A00-00678,0,US,Majority,44,62906.12,3.27,0.147,11.07,1,0,17952.5,personal,1,0.6803,0.6803789132428892,1
A00-00679,0,US,Majority,33,57358.01,13.01,0.345,12.86,0,0,26604.91,personal,1,0.697,0.7059617941005518,1
A00-00680,0,EU,Majority,24,56378.37,8.09,0.268,9.62,0,0,25386.01,auto,1,0.6757,0.6468994952039225,1
A00-00681,0,US,Majority,57,72786.05,5.9,0.186,10.74,0,0,22590.88,auto,0,0.8102,0.804206333053036,1
A00-00682,0,US,Majority,66,72703.05,2.32,0.339,9.59,1,0,36723.31,auto,1,0.5933,0.637332952317143,1
A00-00683,0,US,Majority,44,64323.41,1.05,0.422,8.54,1,1,32472.86,personal,0,0.1905,0.21608936619668045,0
A00-00684,0,US,Majority,24,75543.0,7.29,0.332,3.33,1,0,32554.06,personal,0,0.4435,0.4012636816491775,0
A00-00685,0,US,Majority,30,51996.32,0.99,0.202,4.39,0,0,26661.63,auto,0,0.5161,0.46118545196381183,0
A00-00686,0,EU,Majority,45,81450.13,5.86,0.388,3.1,0,0,33283.69,home_improvement,0,0.5501,0.5434763097381109,0
A00-00687,0,EU,Minority,54,57582.22,3.7,0.499,6.51,3,0,38001.68,home_improvement,0,0.1755,0.24781557380258473,0
A00-00688,0,US,Minority,26,52310.39,4.31,0.641,8.03,0,0,25093.94,auto,1,0.3898,0.3137738457182252,0
A00-00689,0,US,Majority,38,53399.58,11.4,0.503,2.7,0,0,30092.35,auto,0,0.3583,0.2984176844153152,0
A00-00690,0,US,Majority,41,63913.45,3.72,0.209,8.79,2,0,14068.1,auto,1,0.563,0.5306791896324424,0
A00-00691,0,US,Minority,49,97042.15,6.03,0.478,3.6,0,0,6115.64,auto,1,0.7024,0.5284688942748739,0
A00-00692,0,EU,Majority,35,67297.04,3.73,0.361,4.22,0,0,41364.79,personal,1,0.4504,0.4405367213281376,0
A00-00693,0,EU,Majority,22,46756.33,6.91,0.192,6.0,0,0,23759.57,personal,1,0.5227,0.4811097806190646,0
A00-00694,0,EU,Minority,46,78957.56,6.35,0.409,2.62,1,1,29116.05,home_improvement,0,0.1922,0.20904987649450613,0
A00-00695,0,US,Majority,51,59533.36,5.86,0.56,10.93,6,0,15671.22,home_improvement,0,0.1171,0.16497472935523233,0
A00-00696,0,EU,Minority,38,66891.42,10.03,0.519,6.43,0,0,16267.44,auto,0,0.562,0.45098253757433016,0
A00-00697,0,US,Majority,43,56992.45,1.97,0.208,11.76,0,0,19878.93,personal,0,0.7044,0.6960550588843285,1
A00-00698,0,US,Majority,34,92834.69,1.59,0.332,6.73,2,0,34854.08,auto,1,0.5603,0.5483805464698307,0
A00-00699,0,EU,Majority,30,57275.56,2.63,0.389,6.88,3,0,19222.45,personal,0,0.2381,0.2221559675632803,0
A00-00700,0,EU,Majority,50,95059.3,6.37,0.122,15.99,0,0,20362.53,personal,1,0.9295,0.9321518679481773,1
A00-00701,0,EU,Majority,43,48564.05,7.59,0.127,2.01,1,1,20686.88,auto,1,0.192,0.1838193691386149,0
A00-00702,0,EU,Majority,44,62934.78,0.52,0.349,13.64,1,0,35923.2,auto,1,0.6223,0.6726148290769202,1
A00-00703,0,EU,Minority,56,88099.92,7.53,0.395,13.72,0,0,33012.06,personal,1,0.8068,0.8240122553345269,1
A00-00704,0,EU,Majority,27,71695.31,14.25,0.109,11.56,1,1,22141.89,auto,1,0.5802,0.6124080081786265,1
A00-00705,0,US,Majority,33,111657.85,4.7,0.377,7.18,0,0,36073.77,auto,1,0.8156,0.7761427662218366,1
A00-00706,0,US,Minority,41,56386.33,13.2,0.505,12.81,1,0,21601.72,personal,1,0.5299,0.5317574300968736,0
A00-00707,0,US,Minority,33,66383.81,7.22,0.349,5.81,1,0,23606.76,personal,0,0.4641,0.4180599436785104,0
A00-00708,0,US,Majority,48,104697.84,12.36,0.337,5.68,0,0,23736.55,auto,1,0.8214,0.7646331370413565,1
A00-00709,0,US,Majority,37,39735.46,11.09,0.399,6.95,3,0,31883.03,home_improvement,1,0.179,0.24831923935389685,0
A00-00710,0,US,Minority,28,30382.75,4.7,0.428,4.82,2,0,17124.98,home_improvement,0,0.1624,0.16233062602022807,0
A00-00711,0,EU,Majority,40,53385.34,9.31,0.13,4.71,4,0,31599.16,personal,0,0.2158,0.27343761080806256,0
A00-00712,0,EU,Minority,41,76954.08,4.69,0.266,11.54,1,0,49779.91,auto,1,0.6812,0.7568744624209777,1
A00-00713,0,EU,Minority,49,30912.83,14.11,0.327,4.01,2,0,27076.72,home_improvement,0,0.1965,0.24890938404307345,0
A00-00714,0,US,Minority,43,72843.93,4.97,0.272,6.98,1,0,25793.46,personal,1,0.5625,0.5435865561243373,0
A00-00715,0,EU,Majority,44,78507.43,7.79,0.506,2.72,2,0,23379.46,auto,0,0.3335,0.2695278238621479,0
A00-00716,0,US,Majority,43,106773.41,15.57,0.406,8.62,0,0,36584.77,personal,1,0.8141,0.8043910564847361,1
A00-00717,0,US,Majority,37,88364.21,7.99,0.197,3.88,1,0,17128.62,auto,0,0.697,0.6123925856716493,1
A00-00718,0,US,Majority,31,75416.95,4.4,0.304,3.78,1,0,44120.59,personal,0,0.4245,0.437326941103595,0
A00-00719,0,US,Minority,42,87323.53,2.42,0.511,6.66,0,0,39978.76,personal,1,0.5572,0.5317092406616649,0
A00-00720,0,US,Majority,35,78739.17,1.98,0.252,12.73,0,0,22215.79,personal,1,0.8039,0.7875684801466951,1
A00-00721,0,EU,Majority,58,59758.67,7.51,0.432,10.26,4,0,26330.76,personal,1,0.2314,0.28951140926726027,0
A00-00722,0,EU,Majority,54,46752.49,5.51,0.496,10.54,0,0,21990.26,personal,0,0.4686,0.45110071191522433,0
A00-00723,0,EU,Minority,46,50682.05,2.66,0.521,6.58,0,0,26101.68,personal,0,0.3549,0.31341154651521347,0
A00-00724,0,US,Majority,43,67738.6,8.76,0.352,7.16,1,0,28825.73,auto,1,0.5448,0.5287872866257767,0
A00-00725,0,EU,Majority,38,71825.35,8.69,0.48,11.66,3,0,30777.23,personal,0,0.3792,0.42696902975065615,0
A00-00726,0,EU,Majority,25,27931.28,5.45,0.267,6.25,3,0,15871.44,personal,0,0.1645,0.16223434069586068,0
A00-00727,0,US,Majority,37,64328.35,12.66,0.628,11.84,1,0,21402.3,personal,1,0.4849,0.4544153822140876,0
A00-00728,0,EU,Majority,40,69043.05,1.71,0.359,13.44,3,0,37272.28,home_improvement,0,0.4411,0.5841562845152387,1
A00-00729,0,US,Majority,42,78903.21,4.5,0.468,5.13,1,0,25682.56,personal,1,0.4418,0.38309125659383947,0
A00-00730,0,US,Majority,44,99409.22,7.97,0.287,5.72,1,0,3000.0,auto,1,0.7802,0.6613628146030606,1
A00-00731,0,US,Majority,49,72027.42,2.88,0.39,6.32,2,0,23960.43,personal,1,0.3758,0.3573676130674098,0
A00-00732,0,US,Majority,31,51218.31,9.25,0.395,2.63,0,0,46936.58,personal,1,0.3073,0.31849478891669364,0
A00-00733,0,US,Majority,31,33956.49,10.79,0.219,6.62,0,0,33044.77,home_improvement,0,0.4548,0.5214015225873928,0
A00-00734,0,US,Majority,55,81553.21,0.75,0.215,13.71,0,0,23352.59,auto,1,0.8598,0.8582350113182922,1
A00-00735,0,US,Minority,47,44987.34,12.89,0.35,2.92,0,0,25227.93,auto,0,0.4129,0.3642675261564174,0
A00-00736,0,EU,Majority,35,84969.9,7.69,0.463,13.8,1,0,29507.35,personal,1,0.704,0.7106873952906124,1
A00-00737,0,US,Majority,38,95050.98,4.17,0.11,6.77,1,0,12194.38,personal,1,0.7864,0.7261360254507642,1
A00-00738,0,US,Majority,38,39162.58,2.11,0.286,16.96,1,0,19209.65,personal,0,0.5999,0.6427034369259252,1
A00-00739,0,US,Majority,39,79023.96,9.95,0.487,5.77,1,0,29243.78,personal,0,0.4655,0.4250329198658815,0
A00-00740,0,EU,Majority,44,93059.83,2.56,0.182,7.92,3,0,40098.77,home_improvement,1,0.5478,0.6615446462961204,1
A00-00741,0,EU,Majority,67,87861.75,7.68,0.48,4.86,3,1,22407.32,personal,0,0.1336,0.14094954389203157,0
A00-00742,0,EU,Minority,41,21668.79,2.64,0.24,4.35,3,0,37105.68,personal,0,0.0984,0.13447223873809622,0
A00-00743,0,US,Majority,46,52280.61,5.78,0.22,13.85,1,0,18704.35,personal,1,0.6567,0.6821512641114597,1
A00-00744,0,US,Majority,21,44176.57,9.7,0.312,10.4,0,0,3000.0,personal,0,0.6221,0.5231444265970584,0
A00-00745,0,EU,Majority,34,78445.98,4.21,0.555,12.62,1,0,32892.18,personal,1,0.5642,0.5685809785499794,1
A00-00746,0,US,Majority,53,76353.21,12.85,0.253,3.24,0,0,32228.68,personal,0,0.6125,0.5920463689577217,1
A00-00747,0,EU,Majority,43,18000.0,8.07,0.122,11.12,0,0,30053.92,home_improvement,1,0.5179,0.635159125725629,1
A00-00748,0,EU,Minority,21,55784.2,2.88,0.207,3.21,5,1,33800.0,auto,0,0.0447,0.060899758722484924,0
A00-00749,0,US,Minority,46,76713.68,2.23,0.487,1.75,0,0,26001.13,personal,0,0.4114,0.3184067109449099,0
A00-00750,0,EU,Majority,60,71311.54,3.44,0.167,9.46,2,0,21676.51,personal,1,0.5843,0.6131742769434099,1
A00-00751,0,EU,Majority,21,71279.07,5.61,0.473,9.41,1,0,24030.38,auto,1,0.5564,0.49547979573764606,0
A00-00752,0,US,Majority,56,61565.12,13.53,0.338,8.71,2,0,25084.8,personal,0,0.4474,0.48168473739261813,0
A00-00753,0,US,Majority,21,48380.12,14.96,0.326,11.37,3,0,22982.3,home_improvement,1,0.3786,0.4644096276813142,0
A00-00754,0,US,Minority,49,61175.94,4.11,0.411,10.59,0,0,11376.29,auto,0,0.6717,0.5978595694063353,1
A00-00755,0,EU,Majority,39,69489.78,4.03,0.234,14.38,0,1,15390.81,personal,1,0.587,0.5944026254375024,1
A00-00756,0,US,Majority,21,80189.84,8.85,0.347,3.74,0,0,23977.74,auto,1,0.6436,0.5363316778967226,0
A00-00757,0,US,Minority,44,74733.5,8.81,0.232,13.11,0,0,11101.47,personal,1,0.8391,0.8131910696796426,1
A00-00758,0,EU,Majority,52,70131.37,11.71,0.492,16.03,0,0,8927.41,personal,1,0.7918,0.7598989303483726,1
A00-00759,0,US,Majority,43,89303.26,11.89,0.207,7.04,1,0,26508.82,auto,1,0.758,0.7385975894892828,1
A00-00760,0,US,Minority,45,54376.43,3.28,0.428,0.5,1,0,26316.06,personal,0,0.2142,0.1743424516095865,0
A00-00761,0,EU,Majority,34,41063.53,1.91,0.206,2.97,0,0,23036.5,personal,0,0.3777,0.3270517539096023,0
A00-00762,0,US,Majority,21,77564.02,8.14,0.266,6.65,3,0,4574.97,home_improvement,0,0.4923,0.44795914436213596,0
A00-00763,0,US,Majority,47,70901.21,6.57,0.285,16.56,1,0,38237.2,auto,0,0.7775,0.8362998099759706,1
A00-00764,0,US,Minority,58,70941.7,1.22,0.733,7.17,2,1,10955.08,personal,0,0.0947,0.07555079032708262,0
A00-00765,0,US,Majority,51,44475.42,1.88,0.328,6.03,2,1,20356.98,home_improvement,0,0.1029,0.1333486469544936,0
A00-00766,0,US,Majority,21,102525.13,7.91,0.231,5.76,0,0,20832.26,personal,1,0.8144,0.7412504535819062,1
A00-00767,0,EU,Majority,22,81999.55,5.31,0.277,3.21,2,0,37354.64,home_improvement,0,0.4163,0.45122267703748814,0
A00-00768,0,EU,Majority,30,63028.06,8.02,0.149,12.0,0,0,32206.83,personal,1,0.7629,0.787362259446775,1
A00-00769,0,US,Majority,21,50726.39,2.75,0.31,8.13,1,0,19757.0,auto,1,0.478,0.423974504692987,0
A00-00770,0,EU,Majority,39,88965.91,8.36,0.552,16.9,2,0,18752.92,auto,1,0.7362,0.7269593609259504,1
A00-00771,0,EU,Majority,43,47566.37,7.06,0.37,11.01,1,0,25170.08,personal,1,0.4611,0.4817491772697969,0
A00-00772,0,EU,Majority,23,111465.93,8.71,0.438,11.82,1,0,22251.4,home_improvement,1,0.8295,0.8179946843422511,1
A00-00773,0,EU,Minority,48,49849.11,4.3,0.266,6.13,0,0,27036.32,personal,0,0.4826,0.468156661140536,0
A00-00774,0,EU,Majority,46,101189.6,3.72,0.306,4.14,2,0,19025.89,home_improvement,0,0.5897,0.5628306083132534,1
A00-00775,0,EU,Minority,33,57995.0,2.1,0.399,3.61,0,0,28493.01,personal,0,0.3814,0.3222554960722799,0
A00-00776,0,US,Majority,37,98534.19,4.76,0.243,3.02,2,0,31218.43,personal,1,0.5311,0.4993275193593212,0
A00-00777,0,US,Majority,21,54537.5,10.53,0.378,12.14,2,1,20661.71,personal,0,0.2168,0.2426722471259786,0
A00-00778,0,US,Minority,35,61857.89,12.18,0.449,5.56,3,0,7011.29,personal,0,0.2707,0.2148384802170491,0
A00-00779,0,US,Minority,39,76790.24,2.58,0.44,10.91,3,0,27089.1,auto,0,0.4367,0.4508138332925693,0
A00-00780,0,EU,Majority,41,81079.47,5.61,0.312,9.04,0,0,18461.85,auto,1,0.7764,0.7196823092839302,1
A00-00781,0,US,Minority,43,82414.47,13.64,0.506,5.93,2,1,26065.31,home_improvement,0,0.1951,0.2269368687003688,0
A00-00782,0,US,Majority,42,59238.03,14.68,0.299,3.82,1,0,26334.72,auto,1,0.4682,0.4368650859543042,0
A00-00783,0,US,Majority,36,70111.36,4.64,0.288,9.71,2,0,23736.59,auto,1,0.5611,0.5556787687403575,1
A00-00784,0,US,Minority,42,85219.38,11.06,0.548,6.23,4,0,19538.33,personal,1,0.254,0.23419520936863839,0
A00-00785,0,EU,Majority,50,55100.15,10.01,0.197,12.11,1,0,33416.65,auto,1,0.6666,0.7285797364995575,1
A00-00786,0,EU,Minority,38,72378.28,9.54,0.171,4.24,1,0,25180.35,home_improvement,1,0.5883,0.6033681003276801,1
A00-00787,0,US,Majority,42,64335.96,1.68,0.226,10.96,0,0,46773.09,personal,1,0.6536,0.7233891355437827,1
A00-00788,0,US,Minority,37,65411.61,3.95,0.421,13.66,2,0,23547.16,personal,1,0.5118,0.5338253929243284,0
A00-00789,0,US,Majority,32,70106.45,5.24,0.484,9.59,0,0,31272.09,personal,1,0.5748,0.546385118334779,0
A00-00790,0,US,Majority,45,53522.62,5.15,0.251,11.64,0,1,24627.03,personal,0,0.3851,0.42742354874837113,0
A00-00791,0,EU,Majority,33,63546.83,5.57,0.548,10.79,0,0,30968.52,auto,1,0.5752,0.5440722574363129,0
A00-00792,0,EU,Majority,43,71253.71,15.58,0.333,16.09,2,0,36748.25,personal,1,0.677,0.7682107545697208,1
A00-00793,0,US,Majority,39,66548.24,4.74,0.316,9.99,1,0,35662.31,home_improvement,1,0.5671,0.6472574202974698,1
A00-00794,0,US,Majority,36,98381.98,7.26,0.228,11.3,2,0,8213.89,personal,1,0.7902,0.7468451011120608,1
A00-00795,0,EU,Majority,35,87689.16,7.1,0.564,8.35,0,0,38073.21,personal,1,0.6013,0.5729666325110794,1
A00-00796,0,EU,Majority,33,74009.63,5.62,0.312,5.4,2,0,28317.8,personal,1,0.4086,0.39332317146169493,0
A00-00797,0,US,Majority,21,54000.22,2.7,0.17,3.67,0,0,27785.45,personal,0,0.4886,0.4378208758374455,0
A00-00798,0,US,Minority,43,45843.56,6.08,0.67,12.17,5,1,40711.46,auto,0,0.0313,0.057147669349113535,0
A00-00799,0,US,Minority,42,99002.41,1.2,0.422,3.07,1,0,38587.3,home_improvement,1,0.5114,0.518271863560911,0
A00-00800,0,EU,Minority,48,42312.18,7.68,0.471,10.08,1,0,32983.3,personal,0,0.3341,0.3746383810903128,0
A00-00801,0,US,Majority,33,70663.33,1.03,0.532,10.16,2,0,25176.03,personal,0,0.3756,0.3567951837512162,0
A00-00802,0,US,Minority,60,68358.03,7.28,0.449,10.77,0,0,19172.03,auto,0,0.6928,0.6549551173754324,1
A00-00803,0,EU,Majority,35,62584.85,3.81,0.447,6.44,2,0,30328.01,auto,0,0.3231,0.3099687226996171,0
A00-00804,0,EU,Majority,29,49458.13,2.96,0.337,5.34,1,0,35412.57,auto,0,0.345,0.339674024816737,0
A00-00805,0,US,Majority,28,53586.96,8.93,0.418,10.01,1,0,6579.69,personal,1,0.5076,0.42381176666014675,0
A00-00806,0,US,Minority,21,51116.4,4.4,0.371,5.93,1,0,36098.8,auto,1,0.3562,0.3465899940482056,0
A00-00807,0,US,Majority,56,55019.64,5.89,0.328,3.58,0,0,21718.11,personal,1,0.4373,0.3839951544385327,0
A00-00808,0,EU,Majority,54,93726.69,1.72,0.344,16.25,0,0,8228.78,personal,1,0.8921,0.8669251870252068,1
A00-00809,0,US,Minority,46,61326.61,12.69,0.327,3.93,0,0,29383.64,home_improvement,0,0.5204,0.5359460181841904,0
A00-00810,0,EU,Majority,29,58547.78,6.25,0.391,4.53,2,0,36390.71,personal,0,0.2466,0.255147871200099,0
A00-00811,0,EU,Majority,59,70532.2,6.24,0.39,7.53,0,1,22187.76,personal,1,0.3268,0.31906050095879057,0
